Username,content_score
mojombo,1.0000000000000002
defunkt,0.9999999999999996
pjhyett,1.0000000000000004
wycats,0.9999999999999999
ezmobius,1.0
ivey,1.0000000000000002
evanphx,1.0
vanpelt,0.9999999999999992
wayneeseguin,1.0
brynary,1.0000000000000002
kevinclark,1.0000000000000002
technoweenie,1.0
macournoyer,1.0000000000000002
takeo,1.0
caged,1.0000000000000007
topfunky,1.0000000000000002
anotherjesse,1.0000000000000004
roland,1.0
lukas,1.0000000000000009
tomtt,0.9999999999999993
nitay,1.0000000000000002
kevwil,1.0000000000000002
KirinDave,1.0
jamesgolick,1.0
atmos,0.9999999999999999
errfree,1.0
mojodna,1.0000000000000002
bmizerany,1.0000000000000002
jnewland,1.0000000000000002
joshknowles,1.0
hornbeck,1.0000000000000002
jwhitmire,1.0000000000000002
elbowdonkey,0.9999999999999993
reinh,1.0
knzai,1.0
bs,1.0
rsanheim,0.9999999999999998
schacon,0.9999999999999992
uggedal,1.0000000000000002
bruce,1.0
sam,1.0
mmower,0.9999999999999999
abhay,1.0
rabble,1.0000000000000002
benburkert,1.0
indirect,1.0000000000000002
fearoffish,1.0000000000000009
ry,1.0
engineyard,1.0000000000000002
jsierles,1.0
tweibley,1.0000000000000002
peimei,1.0
brixen,1.0000000000000002
tmornini,1.0000000000000002
outerim,1.0000000000000007
daksis,1.0000000000000002
sr,1.0
lifo,1.0
rsl,1.0
imownbey,1.0
dylanegan,1.0000000000000002
jm,1.0000000000000002
kmarsh,1.0000000000000004
jvantuyl,1.0
BrianTheCoder,0.9999999999999999
freeformz,1.0
hassox,1.0000000000000009
automatthew,0.9999999999999993
queso,0.9999999999999999
lancecarlson,0.999999999999999
drnic,1.0000000000000004
lukesutton,1.0
danwrong,1.0
HamptonMakes,1.0
jfrost,1.0000000000000002
mattetti,1.0
ctennis,1.0000000000000002
lawrencepit,1.0000000000000002
marcjeanson,1.0000000000000002
grempe,1.0000000000000002
peterc,0.9999999999999997
ministrycentered,1.0000000000000004
afarnham,1.0
up_the_irons,1.0
cristibalan,1.0
heavysixer,1.0000000000000002
brosner,1.0
danielmorrison,1.0000000000000002
danielharan,1.0
kvnsmth,0.9999999999999999
collectiveidea,1.0000000000000002
canadaduane,1.0
corasaurus-hex,1.0000000000000002
dstrelau,1.0000000000000002
sunny,1.0
dkubb,1.0000000000000002
jnicklas,0.9999999999999999
richcollins,1.0000000000000002
simonjefford,1.0000000000000002
josh,1.0000000000000002
stevedekorte,1.0000000000000009
leahneukirchen,1.0000000000000002
jwreagor,1.0000000000000002
technomancy,1.0
kenphused,1.0
rubyist,1.0000000000000007
ogc,1.0
lazyatom,1.0000000000000002
jdhuntington,1.0000000000000002
sevenwire,1.0
brandonarbini,1.0000000000000002
al3x,1.0000000000000002
toolmantim,1.0
nicksieger,1.0
jicksta,1.0000000000000004
joshsusser,1.0000000000000002
jcrosby,1.0000000000000002
thewoolleyman,1.0000000000000002
technicalpickles,1.0000000000000002
halbtuerke,1.0000000000000009
ryanb,0.9999999999999999
cnix,1.0000000000000002
tpitale,0.9999999999999999
cdcarter,1.0000000000000002
atduskgreg,0.9999999999999999
heff,1.0000000000000002
entryway,1.0
aflatter,1.0000000000000002
schofield,1.0
rbazinet,1.0000000000000002
tranqy,1.0
robey,1.0000000000000002
bkeepers,1.0
wilson,1.0
tommorris,1.0000000000000002
charlesroper,1.0
adamwiggins,1.0000000000000002
myobie,1.0000000000000002
samgranieri,1.0
adam,1.0
mtodd,1.0000000000000002
timcharper,1.0
paul,1.0000000000000009
DocSavage,1.0000000000000002
shane,1.0
vlucas,1.0000000000000002
nex3,1.0000000000000002
norbauer,1.0
crigor,1.0000000000000002
knowtheory,1.0
bernerdschaefer,1.0000000000000002
zapnap,0.9999999999999992
galinv,1.0000000000000002
NZKoz,1.0
croaky,1.0
jeremy,1.0
ELLIOTTCABLE,1.0000000000000002
monde,1.0000000000000002
ryanbriones,1.0
wfarr,1.0000000000000002
jseifer,1.0
symlink,1.0
sprsquish,1.0
codahale,1.0000000000000002
zackchandler,0.9999999999999992
jakehow,1.000000000000001
evan,1.0000000000000009
olleolleolle,1.0000000000000004
chrismcg,1.0000000000000002
chuyeow,1.000000000000001
mloughran,0.9999999999999998
matthewford,0.9999999999999991
henrik,1.0
tkersey,0.9999999999999999
acf,1.0000000000000002
dan,1.0000000000000002
seebq,0.9999999999999996
delynn,1.0
spicycode,1.0000000000000009
ntalbott,1.0
rdempsey,0.9999999999999997
mjankowski,1.0000000000000002
danahern,1.0
dctanner,0.9999999999999999
alexvollmer,0.9999999999999999
RailsAddict,1.0
scharfie,1.0
daikini,1.0000000000000013
tdreyno,1.0
ryenski,1.0
jnunemaker,1.0
shayarnett,1.0000000000000002
chad,1.0
superphly,1.0000000000000002
swhitt,1.0
bryanl,1.0
jschairb,1.0000000000000002
adelcambre,1.0000000000000002
psi,1.0000000000000002
watsonian,1.0000000000000002
marcel,0.9999999999999998
brapse,1.0000000000000002
francois,1.0000000000000009
aditya,0.9999999999999999
agile,1.0
itstommymorgan,1.0000000000000002
toretore,0.9999999999999998
vangberg,1.0000000000000002
jchris,1.0000000000000004
